date,country,daily_count
2016-05-13,Scotland,139.0
2016-05-13,Wales,70.64516129032258
2016-05-14,England,1649.0
2016-05-14,Scotland,224.0
2016-05-14,Wales,70.64516129032258
2016-05-15,England,1767.0
2016-05-15,Scotland,222.0
2016-05-15,Wales,70.64516129032258
2016-05-16,England,1618.0
2016-05-16,Scotland,154.0
2016-05-16,Wales,70.64516129032258
2016-05-17,England,1505.0
2016-05-17,Scotland,98.0
2016-05-17,Wales,70.64516129032258
2016-05-18,England,1262.0
2016-05-18,Scotland,57.0
2016-05-18,Wales,70.64516129032258
2016-05-19,England,1257.0
2016-05-19,Scotland,43.0
2016-05-19,Wales,70.64516129032258
2016-05-20,England,1390.0
2016-05-20,Scotland,56.0
2016-05-20,Wales,70.64516129032258
2016-05-21,England,1371.0
2016-05-21,Scotland,70.0
2016-05-21,Wales,70.64516129032258
2016-05-22,England,1429.0
2016-05-22,Scotland,95.0
2016-05-22,Wales,70.64516129032258
2016-05-23,England,1476.0
2016-05-23,Scotland,93.0
2016-05-23,Wales,70.64516129032258
2016-05-24,England,1491.0
2016-05-24,Scotland,93.0
2016-05-24,Wales,70.64516129032258
2016-05-25,England,1416.0
2016-05-25,Scotland,96.0
2016-05-25,Wales,70.64516129032258
2016-05-26,England,1403.0
2016-05-26,Scotland,69.0
2016-05-26,Wales,70.64516129032258
2016-05-27,England,1498.0
2016-05-27,Scotland,61.0
2016-05-27,Wales,70.64516129032258
2016-05-28,England,1702.0
2016-05-28,Scotland,87.0
2016-05-28,Wales,70.64516129032258
2016-05-29,England,1627.0
2016-05-29,Scotland,148.0
2016-05-29,Wales,70.64516129032258
2016-05-30,England,1518.0
2016-05-30,Scotland,133.0
2016-05-30,Wales,70.64516129032258
2016-05-31,England,1508.0
2016-05-31,Scotland,137.0
2016-05-31,Wales,70.64516129032258
2016-06-01,England,1431.0
2016-06-01,Scotland,103.0
2016-06-01,Wales,62.53333333333333
2016-06-02,England,1433.0
2016-06-02,Scotland,145.0
2016-06-02,Wales,62.53333333333333
2016-06-03,England,1589.0
2016-06-03,Scotland,150.0
2016-06-03,Wales,62.53333333333333
2016-06-04,England,1658.0
2016-06-04,Scotland,133.0
2016-06-04,Wales,62.53333333333333
2016-06-05,England,1796.0
2016-06-05,Scotland,144.0
2016-06-05,Wales,62.53333333333333
2016-06-06,England,1774.0
2016-06-06,Scotland,142.0
2016-06-06,Wales,62.53333333333333
2016-06-07,England,1838.0
2016-06-07,Scotland,144.0
2016-06-07,Wales,62.53333333333333
2016-06-08,England,1842.0
2016-06-08,Scotland,133.0
2016-06-08,Wales,62.53333333333333
2016-06-09,England,1636.0
2016-06-09,Scotland,115.0
2016-06-09,Wales,62.53333333333333
2016-06-10,England,1649.0
2016-06-10,Scotland,84.0
2016-06-10,Wales,62.53333333333333
2016-06-11,England,1674.0
2016-06-11,Scotland,57.0
2016-06-11,Wales,62.53333333333333
2016-06-12,England,1569.0
2016-06-12,Scotland,56.0
2016-06-12,Wales,62.53333333333333
2016-06-13,England,1388.0
2016-06-13,Scotland,58.0
2016-06-13,Wales,62.53333333333333
2016-06-14,England,1419.0
2016-06-14,Scotland,46.0
2016-06-14,Wales,62.53333333333333
2016-06-15,England,1540.0
2016-06-15,Scotland,41.0
2016-06-15,Wales,62.53333333333333
2016-06-16,England,1716.0
2016-06-16,Scotland,45.0
2016-06-16,Wales,62.53333333333333
2016-06-17,England,1455.0
2016-06-17,Scotland,58.0
2016-06-17,Wales,62.53333333333333
2016-06-18,England,1483.0
2016-06-18,Scotland,78.0
2016-06-18,Wales,62.53333333333333
2016-06-19,England,1409.0
2016-06-19,Scotland,61.0
2016-06-19,Wales,62.53333333333333
2016-06-20,England,1438.0
2016-06-20,Scotland,57.0
2016-06-20,Wales,62.53333333333333
2016-06-21,England,1371.0
2016-06-21,Scotland,79.0
2016-06-21,Wales,62.53333333333333
2016-06-22,England,1499.0
2016-06-22,Scotland,69.0
2016-06-22,Wales,62.53333333333333
2016-06-23,England,2702.0
2016-06-23,Scotland,77.0
2016-06-23,Wales,62.53333333333333
2016-06-24,England,1603.0
2016-06-24,Scotland,74.0
2016-06-24,Wales,62.53333333333333
2016-06-25,England,1731.0
2016-06-25,Scotland,60.0
2016-06-25,Wales,62.53333333333333
2016-06-26,England,1496.0
2016-06-26,Scotland,57.0
2016-06-26,Wales,62.53333333333333
2016-06-27,England,1430.0
2016-06-27,Scotland,65.0
2016-06-27,Wales,62.53333333333333
2016-06-28,England,1371.0
2016-06-28,Scotland,42.0
2016-06-28,Wales,62.53333333333333
2016-06-29,England,1202.0
2016-06-29,Scotland,58.0
2016-06-29,Wales,62.53333333333333
2016-06-30,England,1357.0
2016-06-30,Scotland,58.0
2016-06-30,Wales,62.53333333333333
2016-07-01,England,1351.0
2016-07-01,Scotland,45.0
2016-07-01,Wales,55.67741935483871
2016-07-02,England,1460.0
2016-07-02,Scotland,51.0
2016-07-02,Wales,55.67741935483871
2016-07-03,England,1644.0
2016-07-03,Scotland,72.0
2016-07-03,Wales,55.67741935483871
2016-07-04,England,1486.0
2016-07-04,Scotland,45.0
2016-07-04,Wales,55.67741935483871
2016-07-05,England,1495.0
2016-07-05,Scotland,57.0
2016-07-05,Wales,55.67741935483871
2016-07-06,England,1584.0
2016-07-06,Scotland,57.0
2016-07-06,Wales,55.67741935483871
2016-07-07,England,1416.0
2016-07-07,Scotland,51.0
2016-07-07,Wales,55.67741935483871
2016-07-08,England,1500.0
2016-07-08,Scotland,62.0
2016-07-08,Wales,55.67741935483871
2016-07-09,England,1685.0
2016-07-09,Scotland,56.0
2016-07-09,Wales,55.67741935483871
2016-07-10,England,1622.0
2016-07-10,Scotland,56.0
2016-07-10,Wales,55.67741935483871
2016-07-11,England,1353.0
2016-07-11,Scotland,60.0
2016-07-11,Wales,55.67741935483871
2016-07-12,England,1505.0
2016-07-12,Scotland,78.0
2016-07-12,Wales,55.67741935483871
2016-07-13,England,1444.0
2016-07-13,Scotland,62.0
2016-07-13,Wales,55.67741935483871
2016-07-14,England,1510.0
2016-07-14,Scotland,83.0
2016-07-14,Wales,55.67741935483871
2016-07-15,England,1537.0
2016-07-15,Scotland,43.0
2016-07-15,Wales,55.67741935483871
2016-07-16,England,1743.0
2016-07-16,Scotland,50.0
2016-07-16,Wales,55.67741935483871
2016-07-17,England,1889.0
2016-07-17,Scotland,51.0
2016-07-17,Wales,55.67741935483871
2016-07-18,England,1977.0
2016-07-18,Scotland,64.0
2016-07-18,Wales,55.67741935483871
2016-07-19,England,2277.0
2016-07-19,Scotland,100.0
2016-07-19,Wales,55.67741935483871
2016-07-20,England,2051.0
2016-07-20,Scotland,59.0
2016-07-20,Wales,55.67741935483871
2016-07-21,England,1882.0
2016-07-21,Scotland,67.0
2016-07-21,Wales,55.67741935483871
2016-07-22,England,1932.0
2016-07-22,Scotland,67.0
2016-07-22,Wales,55.67741935483871
2016-07-23,England,2025.0
2016-07-23,Scotland,69.0
2016-07-23,Wales,55.67741935483871
2016-07-24,England,1806.0
2016-07-24,Scotland,39.0
2016-07-24,Wales,55.67741935483871
2016-07-25,England,1744.0
2016-07-25,Scotland,43.0
2016-07-25,Wales,55.67741935483871
2016-07-26,England,1672.0
2016-07-26,Scotland,64.0
2016-07-26,Wales,55.67741935483871
2016-07-27,England,1617.0
2016-07-27,Scotland,53.0
2016-07-27,Wales,55.67741935483871
2016-07-28,England,1487.0
2016-07-28,Scotland,69.0
2016-07-28,Wales,55.67741935483871
2016-07-29,England,1488.0
2016-07-29,Scotland,58.0
2016-07-29,Wales,55.67741935483871
2016-07-30,England,1743.0
2016-07-30,Scotland,66.0
2016-07-30,Wales,55.67741935483871
2016-07-31,England,1764.0
2016-07-31,Scotland,63.0
2016-07-31,Wales,55.67741935483871
2016-08-01,England,1597.0
2016-08-01,Scotland,94.0
2016-08-01,Wales,63.87096774193548
2016-08-02,England,1642.0
2016-08-02,Scotland,71.0
2016-08-02,Wales,63.87096774193548
2016-08-03,England,1614.0
2016-08-03,Scotland,43.0
2016-08-03,Wales,63.87096774193548
2016-08-04,England,1463.0
2016-08-04,Scotland,70.0
2016-08-04,Wales,63.87096774193548
2016-08-05,England,1619.0
2016-08-05,Scotland,48.0
2016-08-05,Wales,63.87096774193548
2016-08-06,England,1922.0
2016-08-06,Scotland,63.0
2016-08-06,Wales,63.87096774193548
2016-08-07,England,1841.0
2016-08-07,Scotland,70.0
2016-08-07,Wales,63.87096774193548
2016-08-08,England,1777.0
2016-08-08,Scotland,79.0
2016-08-08,Wales,63.87096774193548
2016-08-09,England,1740.0
2016-08-09,Scotland,92.0
2016-08-09,Wales,63.87096774193548
2016-08-10,England,1675.0
2016-08-10,Scotland,68.0
2016-08-10,Wales,63.87096774193548
2016-08-11,England,1547.0
2016-08-11,Scotland,31.0
2016-08-11,Wales,63.87096774193548
2016-08-12,England,1776.0
2016-08-12,Scotland,45.0
2016-08-12,Wales,63.87096774193548
2016-08-13,England,1759.0
2016-08-13,Scotland,60.0
